Datum,Merkmal,Merkmalwert,Bestätigte Menge,Relativer Anteil,USTR10Y,CBIPSFE,WeizenSpot,CornSpot,CBI,GER10Y,WtiOilSpot,SoySpot,CBIPS,AgriSpot
2013-04-01,B10,B10-0030,3,0.007692307692307693,,,,,,,,,,
2013-05-01,B10,B10-0030,0,0.0,,,,,,,,,,
2013-06-01,B10,B10-0030,0,0.0,,,,,,,,,,
2013-07-01,B10,B10-0030,0,0.0,,,,,,,,,,
2013-08-01,B10,B10-0030,0,0.0,,,,,,,,,,
2013-09-01,B10,B10-0030,0,0.0,,,,,,,,,,
2013-10-01,B10,B10-0030,1,0.006944444444444444,,,,,,,,,,
2013-11-01,B10,B10-0030,0,0.0,,,,,,,,,,
2013-12-01,B10,B10-0030,7,0.03431372549019608,,,,,,,,,,
2014-01-01,B10,B10-0030,0,0.0,3.006,14,197.738,187.924,18.2,1.941,98.04,246.732,22.4,200.399
2014-02-01,B10,B10-0030,0,0.0,2.582,16.5,182.795,190.254,15.5,1.647,96.43,246.293,14.4,201.583
2014-03-01,B10,B10-0030,0,0.0,2.608,9.3,204.039,200.847,10.8,1.563,104.92,269.561,12.4,221.079
2014-04-01,B10,B10-0030,48,0.1256544502617801,2.755,-1,222.17,215.466,4.1,1.581,99.74,281.258,9.2,233.772
2014-05-01,B10,B10-0030,42,0.15613382899628253,2.613,-12.7,241.438,212.924,-6.4,1.47,99.42,242.195,0,236.51
2014-06-01,B10,B10-0030,19,0.10614525139664804,2.527,-24.3,220.032,194.965,-15.1,1.368,102.47,242.683,-5.8,214.915
2014-07-01,B10,B10-0030,0,0.0,2.566,-24.2,204.12,189.725,-17.4,1.249,105.34,229.512,-10.5,201.409
2014-08-01,B10,B10-0030,0,0.0,2.494,-28.4,189.661,168.644,-23,1.139,97.88,212.341,-17.5,188.486
2014-09-01,B10,B10-0030,0,0.0,2.345,-29.9,191.357,169.174,-30.4,0.884,95.96,204.927,-30.9,190.507
2014-10-01,B10,B10-0030,0,0.0,2.389,-38.9,161.955,151.589,-37.9,0.906,90.73,185.073,-36.8,173.713
