Datum,Merkmal,Merkmalwert,Bestätigte Menge,Relativer Anteil,USTR10Y,WeizenSpot,CornSpot,GER10Y,WtiOilSpot,SoySpot,AgriSpot,Jahr,Monat,Monat_sin,Monat_cos
2014-01-01,B10,30,0,0.0,3.006,197.738,187.924,1.941,98.04,246.732,200.399,2014,1,0.49999999999999994,0.8660254037844387
2014-02-01,B10,30,0,0.0,2.582,182.795,190.254,1.647,96.43,246.293,201.583,2014,2,0.8660254037844386,0.5000000000000001
2014-03-01,B10,30,0,0.0,2.608,204.039,200.847,1.563,104.92,269.561,221.079,2014,3,1.0,6.123233995736766e-17
2014-04-01,B10,30,48,0.1256544502617801,2.755,222.17,215.466,1.581,99.74,281.258,233.772,2014,4,0.8660254037844387,-0.49999999999999983
2014-05-01,B10,30,42,0.1561338289962825,2.613,241.438,212.924,1.47,99.42,242.195,236.51,2014,5,0.49999999999999994,-0.8660254037844387
2014-06-01,B10,30,19,0.106145251396648,2.527,220.032,194.965,1.368,102.47,242.683,214.915,2014,6,1.2246467991473532e-16,-1.0
2014-07-01,B10,30,0,0.0,2.566,204.12,189.725,1.249,105.34,229.512,201.409,2014,7,-0.4999999999999998,-0.8660254037844388
2014-08-01,B10,30,0,0.0,2.494,189.661,168.644,1.139,97.88,212.341,188.486,2014,8,-0.8660254037844384,-0.5000000000000004
2014-09-01,B10,30,0,0.0,2.345,191.357,169.174,0.884,95.96,204.927,190.507,2014,9,-1.0,-1.8369701987210297e-16
2014-10-01,B10,30,0,0.0,2.389,161.955,151.589,0.906,90.73,185.073,173.713,2014,10,-0.8660254037844386,0.5000000000000001
2014-11-01,B10,30,0,0.0,2.346,180.048,172.352,0.86,78.78,203.512,191.032,2014,11,-0.5000000000000004,0.8660254037844384
2014-12-01,B10,30,17,0.0762331838565022,2.236,197.9,173.729,0.729,69.0,202.0,195.542,2014,12,-2.4492935982947064e-16,1.0
2015-01-01,B10,30,0,0.0,2.17,192.084,175.953,0.541,53.27,202.341,190.917,2015,1,0.49999999999999994,0.8660254037844387
2015-02-01,B10,30,74,0.2364217252396166,1.674,160.662,166.314,0.314,49.57,189.61,176.57,2015,2,0.8660254037844386,0.5000000000000001
2015-03-01,B10,30,145,0.4005524861878453,2.089,161.551,170.975,0.355,49.59,198.585,178.786,2015,3,1.0,6.123233995736766e-17
2015-04-01,B10,30,184,0.3982683982683982,1.859,171.734,168.538,0.172,50.09,193.961,178.676,2015,4,0.8660254037844387,-0.49999999999999983
2015-05-01,B10,30,127,0.3215189873417721,2.117,171.082,156.674,0.363,59.15,186.976,171.362,2015,5,0.49999999999999994,-0.8660254037844387
2015-06-01,B10,30,195,0.4285714285714285,2.183,173.102,152.719,0.531,60.2,180.0,169.646,2015,6,1.2246467991473532e-16,-1.0
