Date,CBIPSFE (U$/BBL)
2014-01-01 00:00:00,14
2014-02-01 00:00:00,16.5
2014-03-01 00:00:00,9.3
2014-04-01 00:00:00,-1
2014-05-01 00:00:00,-12.7
2014-06-01 00:00:00,-24.3
2014-07-01 00:00:00,-24.2
2014-08-01 00:00:00,-28.4
2014-09-01 00:00:00,-29.9
2014-10-01 00:00:00,-38.9
2014-11-01 00:00:00,-50.5
2014-12-01 00:00:00,-41
2015-01-01 00:00:00,-40.2
2015-02-01 00:00:00,-35.3
2015-03-01 00:00:00,-27
2015-04-01 00:00:00,-18.4
2015-05-01 00:00:00,-18.6
2015-06-01 00:00:00,-20.8
2015-07-01 00:00:00,-14.4
2015-08-01 00:00:00,-11.1
2015-09-01 00:00:00,-8.9
2015-10-01 00:00:00,6.9
2015-11-01 00:00:00,8.8
2015-12-01 00:00:00,7.4
2016-01-01 00:00:00,10.1
2016-02-01 00:00:00,-2
2016-03-01 00:00:00,-4.1
2016-04-01 00:00:00,-17
2016-05-01 00:00:00,-32.7
2016-06-01 00:00:00,-34.5
2016-07-01 00:00:00,-29.4
2016-08-01 00:00:00,-39.8
2016-09-01 00:00:00,-29.3
2016-10-01 00:00:00,-30.1
2016-11-01 00:00:00,-6.1
2016-12-01 00:00:00,-8.1
2017-01-01 00:00:00,1
2017-02-01 00:00:00,19.8
2017-03-01 00:00:00,36.8
2017-04-01 00:00:00,43.9
2017-05-01 00:00:00,42.6
2017-06-01 00:00:00,43.1
2017-07-01 00:00:00,50.5
2017-08-01 00:00:00,61.5
2017-09-01 00:00:00,59.6
2017-10-01 00:00:00,53.7
2017-11-01 00:00:00,48
2017-12-01 00:00:00,50.5
2018-01-01 00:00:00,52.9
2018-02-01 00:00:00,66.3
2018-03-01 00:00:00,58.3
2018-04-01 00:00:00,47.3
2018-05-01 00:00:00,40.6
2018-06-01 00:00:00,33.3
2018-07-01 00:00:00,38.1
2018-08-01 00:00:00,29
2018-09-01 00:00:00,27.8
2018-10-01 00:00:00,21.1
2018-11-01 00:00:00,12.9
2018-12-01 00:00:00,18.4
2019-01-01 00:00:00,20.8
2019-02-01 00:00:00,19.3
2019-03-01 00:00:00,21.9
2019-04-01 00:00:00,19.4
2019-05-01 00:00:00,7.4
2019-06-01 00:00:00,2.2
2019-07-01 00:00:00,-15.3
2019-08-01 00:00:00,-17.7
2019-09-01 00:00:00,-22.2
2019-10-01 00:00:00,-27.9
2019-11-01 00:00:00,-16
2019-12-01 00:00:00,-17.9
2020-01-01 00:00:00,-21.2
2020-02-01 00:00:00,-2
2020-03-01 00:00:00,-13.9
2020-04-01 00:00:00,-80.8
2020-05-01 00:00:00,-69.5
2020-06-01 00:00:00,-47.5
2020-07-01 00:00:00,-25
2020-08-01 00:00:00,-13.5
2020-09-01 00:00:00,-5.9
2020-10-01 00:00:00,9.4
2020-11-01 00:00:00,8.7
2020-12-01 00:00:00,25
2021-01-01 00:00:00,46
2021-02-01 00:00:00,53.7
2021-03-01 00:00:00,60.4
2021-04-01 00:00:00,64.2
2021-05-01 00:00:00,73.5
2021-06-01 00:00:00,74
2021-07-01 00:00:00,57.5
2021-08-01 00:00:00,59.3
2021-09-01 00:00:00,63
2021-10-01 00:00:00,54.3
2021-11-01 00:00:00,41.2
2021-12-01 00:00:00,48.5
2022-01-01 00:00:00,48.4
2022-02-01 00:00:00,44.2
2022-03-01 00:00:00,23.3
2022-04-01 00:00:00,14.8
2022-05-01 00:00:00,8.3
2022-06-01 00:00:00,13.2
2022-07-01 00:00:00,20
2022-08-01 00:00:00,13.2
2022-09-01 00:00:00,13.3
2022-10-01 00:00:00,10.1
2022-11-01 00:00:00,17.8
2022-12-01 00:00:00,29.7
2023-01-01 00:00:00,30.8
2023-02-01 00:00:00,36.8
2023-03-01 00:00:00,31.9
2023-04-01 00:00:00,19.4
2023-05-01 00:00:00,12.5
2023-06-01 00:00:00,-2.2
2023-07-01 00:00:00,-5.3
2023-08-01 00:00:00,-24.1
2023-09-01 00:00:00,-41.4
2023-10-01 00:00:00,-43.2
2023-11-01 00:00:00,-43.5
2023-12-01 00:00:00,-56.6
2024-01-01 00:00:00,-58.8
2024-02-01 00:00:00,-56.7
2024-03-01 00:00:00,-56.7
2024-04-01 00:00:00,-54.9
2024-05-01 00:00:00,-46
