Date,Interest Rate
2014-01-01 00:00:00,1.941
2014-02-01 00:00:00,1.647
2014-03-01 00:00:00,1.563
2014-04-01 00:00:00,1.581
2014-05-01 00:00:00,1.47
2014-06-01 00:00:00,1.368
2014-07-01 00:00:00,1.249
2014-08-01 00:00:00,1.139
2014-09-01 00:00:00,0.884
2014-10-01 00:00:00,0.906
2014-11-01 00:00:00,0.86
2014-12-01 00:00:00,0.729
2015-01-01 00:00:00,0.541
2015-02-01 00:00:00,0.314
2015-03-01 00:00:00,0.355
2015-04-01 00:00:00,0.172
2015-05-01 00:00:00,0.363
2015-06-01 00:00:00,0.531
2015-07-01 00:00:00,0.823
2015-08-01 00:00:00,0.634
2015-09-01 00:00:00,0.807
2015-10-01 00:00:00,0.545
2015-11-01 00:00:00,0.56
2015-12-01 00:00:00,0.469
2016-01-01 00:00:00,0.634
2016-02-01 00:00:00,0.36
2016-03-01 00:00:00,0.149
2016-04-01 00:00:00,0.145
2016-05-01 00:00:00,0.275
2016-06-01 00:00:00,0.134
2016-07-01 00:00:00,-0.129
2016-08-01 00:00:00,-0.095
2016-09-01 00:00:00,-0.066
2016-10-01 00:00:00,-0.096
2016-11-01 00:00:00,0.173
2016-12-01 00:00:00,0.356
2017-01-01 00:00:00,0.185
2017-02-01 00:00:00,0.469
2017-03-01 00:00:00,0.283
2017-04-01 00:00:00,0.279
2017-05-01 00:00:00,0.327
2017-06-01 00:00:00,0.301
2017-07-01 00:00:00,0.482
2017-08-01 00:00:00,0.487
2017-09-01 00:00:00,0.379
2017-10-01 00:00:00,0.452
2017-11-01 00:00:00,0.37
2017-12-01 00:00:00,0.364
2018-01-01 00:00:00,0.424
2018-02-01 00:00:00,0.711
2018-03-01 00:00:00,0.644
2018-04-01 00:00:00,0.494
2018-05-01 00:00:00,0.563
2018-06-01 00:00:00,0.377
2018-07-01 00:00:00,0.303
2018-08-01 00:00:00,0.492
2018-09-01 00:00:00,0.335
2018-10-01 00:00:00,0.469
2018-11-01 00:00:00,0.397
2018-12-01 00:00:00,0.307
2019-01-01 00:00:00,0.246
2019-02-01 00:00:00,0.166
2019-03-01 00:00:00,0.187
2019-04-01 00:00:00,-0.026
2019-05-01 00:00:00,0.014
2019-06-01 00:00:00,-0.199
2019-07-01 00:00:00,-0.36
2019-08-01 00:00:00,-0.453
2019-09-01 00:00:00,-0.701
2019-10-01 00:00:00,-0.557
2019-11-01 00:00:00,-0.377
2019-12-01 00:00:00,-0.278
2020-01-01 00:00:00,-0.187
2020-02-01 00:00:00,-0.436
2020-03-01 00:00:00,-0.62
2020-04-01 00:00:00,-0.47
2020-05-01 00:00:00,-0.586
2020-06-01 00:00:00,-0.393
2020-07-01 00:00:00,-0.4
2020-08-01 00:00:00,-0.522
2020-09-01 00:00:00,-0.416
2020-10-01 00:00:00,-0.528
2020-11-01 00:00:00,-0.638
2020-12-01 00:00:00,-0.522
2021-01-01 00:00:00,-0.575
2021-02-01 00:00:00,-0.513
2021-03-01 00:00:00,-0.336
2021-04-01 00:00:00,-0.325
2021-05-01 00:00:00,-0.204
2021-06-01 00:00:00,-0.175
2021-07-01 00:00:00,-0.198
2021-08-01 00:00:00,-0.479
2021-09-01 00:00:00,-0.371
2021-10-01 00:00:00,-0.221
2021-11-01 00:00:00,-0.102
2021-12-01 00:00:00,-0.331
2022-01-01 00:00:00,-0.124
2022-02-01 00:00:00,0.034
2022-03-01 00:00:00,-0.069
2022-04-01 00:00:00,0.564
2022-05-01 00:00:00,0.959
2022-06-01 00:00:00,1.179
2022-07-01 00:00:00,1.231
2022-08-01 00:00:00,0.763
2022-09-01 00:00:00,1.564
2022-10-01 00:00:00,1.894
2022-11-01 00:00:00,2.125
2022-12-01 00:00:00,1.824
2023-01-01 00:00:00,2.447
2023-02-01 00:00:00,2.291
2023-03-01 00:00:00,2.714
2023-04-01 00:00:00,2.241
2023-05-01 00:00:00,2.32
2023-06-01 00:00:00,2.26
2023-07-01 00:00:00,2.432
2023-08-01 00:00:00,2.523
2023-09-01 00:00:00,2.545
2023-10-01 00:00:00,2.911
2023-11-01 00:00:00,2.758
2023-12-01 00:00:00,2.363
2024-01-01 00:00:00,2.029
2024-02-01 00:00:00,2.14
2024-03-01 00:00:00,2.412
2024-04-01 00:00:00,2.292
2024-05-01 00:00:00,2.581
