Jahr,Monat,Deutschland
1881,1,28.7
1882,1,25.8
1883,1,42.2
1884,1,68.4
1885,1,24.2
1886,1,54.8
1887,1,5.8
1888,1,39.6
1889,1,18.2
1890,1,83.5
1891,1,50.1
1892,1,66.4
1893,1,44.8
1894,1,29.0
1895,1,65.3
1896,1,38.9
1897,1,35.3
1898,1,35.7
1899,1,83.6
1900,1,97.6
1901,1,45.1
1902,1,61.3
1903,1,45.8
1904,1,38.4
1905,1,52.7
1906,1,72.9
1907,1,60.5
1908,1,38.8
1909,1,36.5
1910,1,69.8
1911,1,27.9
1912,1,57.7
1913,1,53.9
1914,1,44.3
1915,1,94.0
1916,1,86.1
1917,1,61.8
1918,1,73.0
1919,1,32.6
1920,1,90.6
1921,1,98.0
1922,1,72.4
1923,1,59.6
1924,1,27.2
1925,1,55.6
1926,1,67.0
1927,1,54.9
1928,1,58.9
1929,1,32.7
1930,1,34.7
1931,1,89.9
1932,1,59.4
1933,1,30.4
1934,1,47.8
1935,1,58.3
1936,1,71.3
1937,1,61.5
1938,1,104.4
1939,1,75.4
1940,1,28.3
1941,1,65.8
1942,1,41.7
1943,1,48.4
1944,1,83.2
1945,1,44.6
1946,1,41.9
1947,1,35.3
1948,1,106.9
1949,1,38.3
1950,1,48.5
1951,1,77.2
1952,1,74.6
1953,1,34.4
1954,1,66.2
1955,1,62.2
1956,1,68.3
1957,1,43.1
1958,1,73.8
1959,1,66.5
1960,1,65.3
1961,1,61.8
1962,1,70.5
1963,1,25.5
1964,1,22.3
1965,1,89.2
1966,1,50.0
1967,1,60.9
1968,1,89.2
1969,1,50.1
1970,1,44.4
1971,1,33.3
1972,1,17.7
1973,1,32.2
1974,1,56.9
1975,1,62.5
1976,1,117.5
1977,1,59.6
1978,1,46.6
1979,1,48.5
1980,1,50.0
1981,1,88.5
1982,1,80.1
1983,1,95.6
1984,1,98.1
1985,1,60.0
1986,1,107.5
1987,1,65.7
1988,1,76.1
1989,1,23.4
1990,1,40.2
1991,1,46.9
1992,1,36.0
1993,1,87.3
1994,1,93.3
1995,1,119.0
1996,1,7.0
1997,1,11.2
1998,1,64.4
1999,1,66.1
2000,1,54.8
2001,1,61.1
2002,1,47.4
2003,1,82.8
2004,1,109.4
2005,1,71.0
2006,1,26.7
2007,1,98.2
2008,1,74.0
2009,1,33.2
2010,1,46.8
2011,1,63.8
2012,1,105.1
2013,1,64.4
2014,1,44.9
2015,1,85.4
2016,1,77.3
2017,1,45.2
2018,1,101.7
2019,1,81.8
2020,1,40.5
2021,1,80.2
2022,1,58.2
2023,1,69.4
2024,1,75.2
1881,2,43.7
1882,2,31.0
1883,2,26.1
1884,2,32.2
1885,2,47.5
1886,2,20.0
1887,2,12.3
1888,2,49.0
1889,2,77.0
1890,2,5.9
1891,2,12.2
1892,2,51.4
1893,2,88.1
1894,2,61.6
1895,2,24.4
1896,2,13.9
1897,2,62.8
1898,2,79.7
1899,2,27.5
1900,2,56.6
1901,2,35.1
1902,2,29.5
1903,2,38.1
1904,2,75.3
1905,2,41.0
1906,2,45.8
1907,2,42.9
1908,2,67.8
1909,2,63.0
1910,2,62.6
1911,2,58.6
1912,2,47.6
1913,2,30.4
1914,2,26.7
1915,2,32.7
1916,2,68.0
1917,2,12.8
1918,2,42.9
1919,2,37.1
1920,2,35.4
1921,2,22.1
1922,2,50.6
1923,2,59.1
1924,2,36.7
1925,2,47.2
1926,2,62.6
1927,2,36.2
1928,2,67.9
1929,2,21.6
1930,2,16.4
1931,2,44.0
1932,2,14.7
1933,2,49.4
1934,2,27.8
1935,2,91.4
1936,2,65.2
1937,2,104.7
1938,2,36.8
1939,2,31.8
1940,2,38.3
1941,2,47.7
1942,2,29.3
1943,2,39.3
1944,2,59.7
1945,2,74.9
1946,2,127.3
1947,2,31.1
1948,2,76.7
1949,2,31.1
1950,2,88.6
1951,2,45.7
1952,2,47.6
1953,2,51.2
1954,2,23.5
1955,2,58.9
1956,2,25.0
1957,2,88.6
1958,2,107.5
1959,2,8.9
1960,2,38.9
1961,2,60.7
1962,2,68.2
1963,2,19.5
1964,2,37.1
1965,2,43.3
1966,2,70.2
1967,2,49.8
1968,2,40.9
1969,2,52.2
1970,2,122.3
1971,2,35.4
1972,2,11.2
1973,2,52.7
1974,2,49.8
