Date,Interest Rate
2014-01-01 00:00:00,3.006
2014-02-01 00:00:00,2.582
2014-03-01 00:00:00,2.608
2014-04-01 00:00:00,2.755
2014-05-01 00:00:00,2.613
2014-06-01 00:00:00,2.527
2014-07-01 00:00:00,2.566
2014-08-01 00:00:00,2.494
2014-09-01 00:00:00,2.345
2014-10-01 00:00:00,2.389
2014-11-01 00:00:00,2.346
2014-12-01 00:00:00,2.236
2015-01-01 00:00:00,2.17
2015-02-01 00:00:00,1.674
2015-03-01 00:00:00,2.089
2015-04-01 00:00:00,1.859
2015-05-01 00:00:00,2.117
2015-06-01 00:00:00,2.183
2015-07-01 00:00:00,2.427
2015-08-01 00:00:00,2.15
2015-09-01 00:00:00,2.159
2015-10-01 00:00:00,2.042
2015-11-01 00:00:00,2.176
2015-12-01 00:00:00,2.145
2016-01-01 00:00:00,2.275
2016-02-01 00:00:00,1.966
2016-03-01 00:00:00,1.835
2016-04-01 00:00:00,1.791
2016-05-01 00:00:00,1.865
2016-06-01 00:00:00,1.846
2016-07-01 00:00:00,1.461
2016-08-01 00:00:00,1.497
2016-09-01 00:00:00,1.57
2016-10-01 00:00:00,1.624
2016-11-01 00:00:00,1.82
2016-12-01 00:00:00,2.441
2017-01-01 00:00:00,2.432
2017-02-01 00:00:00,2.474
2017-03-01 00:00:00,2.462
2017-04-01 00:00:00,2.35
2017-05-01 00:00:00,2.327
2017-06-01 00:00:00,2.217
2017-07-01 00:00:00,2.346
2017-08-01 00:00:00,2.251
2017-09-01 00:00:00,2.157
2017-10-01 00:00:00,2.337
2017-11-01 00:00:00,2.376
2017-12-01 00:00:00,2.363
2018-01-01 00:00:00,2.411
2018-02-01 00:00:00,2.773
2018-03-01 00:00:00,2.802
2018-04-01 00:00:00,2.732
2018-05-01 00:00:00,2.976
2018-06-01 00:00:00,2.895
2018-07-01 00:00:00,2.867
2018-08-01 00:00:00,3.003
2018-09-01 00:00:00,2.853
2018-10-01 00:00:00,3.08
2018-11-01 00:00:00,3.144
2018-12-01 00:00:00,2.991
2019-01-01 00:00:00,2.691
2019-02-01 00:00:00,2.691
2019-03-01 00:00:00,2.755
2019-04-01 00:00:00,2.497
2019-05-01 00:00:00,2.511
2019-06-01 00:00:00,2.081
2019-07-01 00:00:00,2.033
2019-08-01 00:00:00,1.892
2019-09-01 00:00:00,1.506
2019-10-01 00:00:00,1.644
2019-11-01 00:00:00,1.728
2019-12-01 00:00:00,1.836
2020-01-01 00:00:00,1.91
2020-02-01 00:00:00,1.52
2020-03-01 00:00:00,1.088
2020-04-01 00:00:00,0.635
2020-05-01 00:00:00,0.64
2020-06-01 00:00:00,0.662
2020-07-01 00:00:00,0.682
2020-08-01 00:00:00,0.563
2020-09-01 00:00:00,0.671
2020-10-01 00:00:00,0.677
2020-11-01 00:00:00,0.848
2020-12-01 00:00:00,0.934
2021-01-01 00:00:00,0.912
2021-02-01 00:00:00,1.077
2021-03-01 00:00:00,1.446
2021-04-01 00:00:00,1.679
2021-05-01 00:00:00,1.606
2021-06-01 00:00:00,1.615
2021-07-01 00:00:00,1.48
2021-08-01 00:00:00,1.172
2021-09-01 00:00:00,1.302
2021-10-01 00:00:00,1.467
2021-11-01 00:00:00,1.573
2021-12-01 00:00:00,1.434
2022-01-01 00:00:00,1.63
2022-02-01 00:00:00,1.8
2022-03-01 00:00:00,1.711
2022-04-01 00:00:00,2.375
2022-05-01 00:00:00,2.996
2022-06-01 00:00:00,2.931
2022-07-01 00:00:00,2.904
2022-08-01 00:00:00,2.605
2022-09-01 00:00:00,3.265
2022-10-01 00:00:00,3.651
2022-11-01 00:00:00,4.052
2022-12-01 00:00:00,3.527
2023-01-01 00:00:00,3.831
2023-02-01 00:00:00,3.398
2023-03-01 00:00:00,3.996
2023-04-01 00:00:00,3.423
2023-05-01 00:00:00,3.593
2023-06-01 00:00:00,3.605
2023-07-01 00:00:00,3.858
2023-08-01 00:00:00,4.037
2023-09-01 00:00:00,4.187
2023-10-01 00:00:00,4.687
2023-11-01 00:00:00,4.761
2023-12-01 00:00:00,4.22
2024-01-01 00:00:00,3.866
2024-02-01 00:00:00,3.858
2024-03-01 00:00:00,4.186
2024-04-01 00:00:00,4.325
2024-05-01 00:00:00,4.63
